entry_date,exit_date,status,entry_price,exit_price,holding_days,trade_return,max_favorable_excursion,max_adverse_excursion,regime_at_entry,volatility_at_entry,trend_spread_at_entry
2021-04-12,2021-05-17,closed,127.70954895019531,123.08192443847656,26,-0.04192832951262526,0.02743031215570979,-0.06294950769889929,bear,,
2021-06-18,2021-09-21,closed,127.16617584228516,140.0181121826172,66,0.08392856366556911,0.20285722427956698,0.0,bear,,
2021-10-22,2022-01-24,closed,145.1529998779297,158.00575256347656,64,0.08602368458322918,0.22587681560331618,-0.004063495013585494,sideways,,
2022-02-03,2022-03-04,closed,169.03341674804688,159.72430419921875,21,-0.05535597842941942,0.020847780429533946,-0.07302495970760914,bull,,
2022-03-25,2022-04-25,closed,171.03041076660156,159.44041442871094,21,-0.07229933436097469,0.024267152981594764,-0.07400454773809051,sideways,,
2022-07-13,2022-09-08,closed,142.6268768310547,151.63070678710938,41,0.06882052213667156,0.20140534138851285,0.0,bear,,
2022-11-17,2022-12-16,closed,148.2046356201172,132.26515197753906,21,-0.08442183136352321,0.003781837440499425,-0.10755050660786825,bear,,
2023-01-26,2023-08-09,closed,141.5574493408203,175.72647094726562,135,0.26875430095604247,0.3685891800991019,-0.006668348943620228,recovery,,
2023-09-06,2023-10-04,closed,180.6248016357422,171.4903564453125,21,-0.09294813957705383,0.0,-0.06823028348981586,bull,,
2023-10-13,2024-01-08,closed,176.6155242919922,183.4830780029297,59,0.002013857677475306,0.10914716827902304,-0.06687168322220716,sideways,,
2024-01-24,2024-02-22,closed,192.3230438232422,182.5390167236328,21,-0.06605922198601388,0.0,-0.06533866842990477,bull,,
2024-05-06,2024-08-09,closed,179.9054412841797,214.3829345703125,67,0.16270577157456656,0.29403178871957536,0.0,sideways,,
2024-08-19,2024-09-17,closed,224.2092742919922,215.1769561767578,21,-0.04485271591581508,0.017264993573130605,-0.04236568414428987,bull,,
2024-09-25,2024-11-06,closed,224.68568420410156,221.06285095214844,31,-0.01899463874016949,0.04466145706883151,-0.020674090276802004,bull,,
2024-11-21,2025-01-16,closed,227.0692596435547,226.81088256835938,37,0.036655023328170167,0.13346743084282586,-0.001137877824593736,bull,,
2025-02-20,2025-03-20,closed,244.5379180908203,212.97470092773438,21,-0.12256496077986956,0.005166155550495821,-0.1470528864996381,bull,,
2025-05-16,2025-06-16,closed,210.42518615722656,197.63592529296875,21,-0.07279675687998288,0.0,-0.07568867529463374,recovery,,
2025-07-02,2026-01-06,closed,211.60055541992188,261.87347412109375,130,0.2863174200026597,0.3499930124159778,-0.04735461895168358,recovery,,
2026-02-06,2026-03-09,closed,277.6042175292969,259.6407775878906,21,-0.06775423542872216,0.0,-0.07946443343536858,bull,,
2026-04-16,2026-06-08,open,263.15753173828125,301.5400085449219,37,0.13167638610192012,0.19776169857265558,0.0,bull,,
